station,name,state,country,date,tmax,tmin,tobs
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-09,22,10,10
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-10,16,2,5
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-11,16,2,7
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-12,25,4,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-13,33,18,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-14,23,14,17
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-15,26,11,18
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-16,27,18,24
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-17,28,21,28
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-18,46,25,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-19,47,33,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-20,53,33,38
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-21,38,28,29
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-22,36,24,26
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-23,30,17,18
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-24,25,14,20
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-25,23,8,8
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-26,19,2,19
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-27,19,5,8
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-02-28,33,8,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-01,33,13,13
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-02,13,7,12
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-03,15,5,14
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-04,30,13,22
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-05,23,18,18
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-06,25,13,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-07,47,22,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-08,39,23,24
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-09,42,23,42
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-10,54,40,46
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-11,51,32,32
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-12,32,20,21
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-13,40,19,40
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-14,53,34,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-15,39,28,29
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-16,29,18,22
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-17,35,20,32
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-18,42,30,42
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-19,46,35,35
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-20,43,31,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-21,58,32,41
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-22,41,28,28
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-23,28,22,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-24,34,22,30
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-25,31,23,23
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-26,39,21,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-27,54,35,54
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-28,55,33,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-29,36,32,33
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-30,56,31,48
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-03-31,64,43,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-01,58,34,44
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-02,44,34,38
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-03,40,35,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-04,47,36,36
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-05,41,35,41
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-06,51,37,37
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-07,48,36,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-08,48,41,43
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-09,62,38,54
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-10,64,45,51
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-11,68,45,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-12,77,43,67
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-13,68,40,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-14,64,30,31
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-15,34,27,34
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-16,50,32,43
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-17,61,42,45
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-18,46,37,39
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2014-04-19,53,38,48
